,Title,Authors,Year
0,An evaluation of deep learning methods for small object detection,"ND Nguyen, T Do, TD Ngo, DD Le",2020
1,The video browser showdown: a live evaluation of interactive video search tools,"K Schoeffmann, D Ahlström, W Bailer, C Cobârzan, F Hopfgartner, ...",2014
2,NII-HITACHI-UIT at TRECVID 2016.,"DD Le, S Phan, VT Nguyen, B Renoust, TA Nguyen, VN Hoang, TD Ngo, ...",2016
3,Dictionary-guided scene text recognition,"N Nguyen, T Nguyen, V Tran, MT Tran, TD Ngo, TH Nguyen, M Hoai",2021
4,An efficient method for face retrieval from large video datasets,"TN Nguyen, TD Ngo, DD Le, S Satoh, BH Le, DA Duong",2010
5,Evaluation of deep models for real-time small object detection,"P Pham, D Nguyen, T Do, TD Ngo, DD Le",2017
6,Scalable face track retrieval in video archives using bag-of-faces sparse representation,"BC Chen, YY Chen, YH Kuo, TD Ngo, DD Le, S Satoh, WH Hsu",2016
7,Robust face track finding in video using tracked points,"TD Ngo, DD Le, S Satoh, DA Duong",2008
8,Measuring efficiency of Vietnamese banks: Accounting for nonperforming loans in a single-step stochastic cost frontier analysis,"T Ngo, D Tripe",2017
9,Re-ranking for person re-identification,"VH Nguyen, TD Ngo, KMTT Nguyen, DA Duong, K Nguyen, DD Le",2013
10,Face retrieval in large-scale news video datasets,"TD Ngo, HT Vu, DD Le, S Satoh",2013
11,Video search based on semantic extraction and locally regional object proposal,"TD Truong, VT Nguyen, MT Tran, TV Trieu, T Do, TD Ngo, DD Le",2018
12,When face-tracking meets social networks: a story of politics in news videos,"B Renoust, T Kobayashi, TD Ngo, DD Le, SI Satoh",2016
13,Multimedia event detection using segment-based approach for motion feature,"S Phan, TD Ngo, V Lam, S Tran, DD Le, DA Duong, S Satoh",2014
14,A text segmentation based approach to video shot boundary detection,"DD Le, S Satoh, TD Ngo, DA Duong",2008
15,A combination of spatial pyramid and inverted index for large-scale image retrieval,"VT Nguyen, TD Ngo, MT Tran, DD Le, DA Duong",2015
16,AttRel: an approach to person re-identification by exploiting attribute relationships,"NB Nguyen, VH Nguyen, TN Duc, DD Le, DA Duong",2015
17,Single-image crowd counting: a comparative survey on deep learning-based approaches,"V Nguyen, TD Ngo",2020
18,NII-UIT-VBS: A video browsing tool for known item search,"DD Le, V Lam, TD Ngo, VQ Tran, VH Nguyen, DA Duong, S Satoh",2013
19,Transfer AdaBoost SVM for link prediction in newly signed social networks using explicit and PNR features,"AT Nguyen-Thi, PQ Nguyen, TD Ngo, TA Nguyen-Hoang",2015
20,Efficient large-scale multi-class image classification by learning balanced trees,"TD Mai, TD Ngo, DD Le, DA Duong, K Hoang, S Satoh",2017
21,Few-shot object detection via baby learning,"AKN Vu, ND Nguyen, KD Nguyen, VT Nguyen, TD Ngo, TT Do, ...",2022
22,System for providing a robust marketing optimization algorithm and method therefor,"T Zhu, B Li, T Ngo, FNU Manasi, P Harrington",2021
23,Computational optimization for violent scenes detection,"V Lam, SP Le, T Do, TD Ngo, DD Le, DA Duong",2016
24,NII-UIT: A tool for known item search by sequential pattern filtering,"TD Ngo, VH Nguyen, V Lam, S Phan, DD Le, DA Duong, S Satoh",2014
25,Using textual semantic similarity to improve clustering quality of web video search results,"PQ Nguyen, AT Nguyen-Thi, TD Ngo, TAH Nguyen",2015
26,Integrating spatial information into inverted index for large-scale image retrieval,"BV Nguyen, D Pham, TD Ngo, DD Le, DA Duong",2014
27,Knowledge and Systems Engineering,"D Nguyen, AP Le, S Tojo",2014
28,Video instance search via spatial fusion of visual words and object proposals,"VT Nguyen, DD Le, MT Tran, TV Nguyen, TD Ngo, S Satoh, DA Duong",2019
29,Scene text detection based on structural features,"K Nguyen, ND Thanh",2016
30,Nii-uit browser: a multimodal video search system,"TD Ngo, VT Nguyen, VH Nguyen, DD Le, DA Duong, S Satoh",2015
31,Evaluation of low-level features for detecting violent scenes in videos,"V Lam, DD Le, S Phan, S Satoh, DA Duong, TD Ngo",2013
32,Person re-identification with mutual re-ranking,"NB Nguyen, VH Nguyen, TD Ngo, KMTT Nguyen",2017
33,A software defined networking approach for guaranteeing delay in Wi-Fi networks,"DTT Hien, TD Ngo, DD Le, H Sekiya, VH Pham, K Nguyen",2019
34,Targeting bufferbloat in wi-fi networks: An emulator-based approach,"TD Ngo, DD Le, H Sekiya, VH Pham, K Nguyen",2019
35,NII-HITACHI-UIT at TRECVID 2017.,"S Phan, M Klinkigt, VT Nguyen, TD Mai, AG Xalabarder, R Hinami, ...",2017
36,Clustering web video search results with convolutional neural networks,"PQ Nguyen, T Do, AT Nguyen-Thi, TD Ngo, DD Le, TAH Nguyen",2016
37,Violent scene detection using mid-level feature,"V Lam, S Phan, TD Ngo, DD Le, DA Duong, S Satoh",2013
38,soybean,"TD Ngo, DL Tran, VL Tran, TD Do, TD Pham",1999
39,MC-OCR Challenge 2021: An end-to-end recognition framework for Vietnamese Receipts,"H Le, H To, H An, K Ho, K Nguyen, T Nguyen, T Do, TD Ngo, DD Le",2021
